session_id;user_id;item_id;timeframe;eventdate
1;NA;81766;526309;2016-05-09
1;NA;31331;1031018;2016-05-09
1;NA;32118;243569;2016-05-09
1;NA;9654;75848;2016-05-09
1;NA;32627;1112408;2016-05-09
1;NA;33043;173912;2016-05-09
1;NA;12352;329870;2016-05-09
1;NA;35077;390072;2016-05-09
1;NA;36118;487369;2016-05-09
1;NA;129055;991416;2016-05-09
2;NA;3147;883039;2016-05-09
2;NA;32754;359839;2016-05-09
2;NA;100747;38317;2016-05-09
2;NA;32971;182759;2016-05-09
2;NA;10657;387340;2016-05-09
2;NA;35606;756335;2016-05-09
2;NA;35606;53684;2016-05-09
2;NA;36246;332000;2016-05-09
2;NA;36246;722492;2016-05-09
2;NA;196110;1045018;2016-05-09
4;NA;13931;21812;2016-05-09
5;NA;5140;22430;2016-05-09
5;NA;35472;121036;2016-05-09
6;NA;73191;53123;2016-05-09
6;NA;382683;88337;2016-05-09
7;NA;59248;38806;2016-05-09
7;NA;59248;328086;2016-05-09
7;NA;9416;271202;2016-05-09
7;NA;40639;14808;2016-05-09
7;NA;40639;432980;2016-05-09
7;NA;40639;161072;2016-05-09
7;NA;73816;69100;2016-05-09
7;NA;32742;186920;2016-05-09
7;NA;79626;358743;2016-05-09
7;NA;388131;583388;2016-05-09
8;NA;11542;10067;2016-04-10
10;NA;69597;193275;2016-04-05
10;NA;5103;5639;2016-04-05
12;NA;4168;18252;2016-04-05
12;NA;79898;204561;2016-04-05
12;NA;79898;463266;2016-04-05
13;NA;3680;144850;2016-04-05
13;NA;34797;217117;2016-04-05
13;NA;14784;24256;2016-04-05
14;NA;36156;24366;2016-04-05
14;NA;13931;6581;2016-04-05
15;NA;135099;135386;2016-04-05
15;NA;151445;318401;2016-04-05
15;NA;29592;276284;2016-04-05
15;NA;19726;77423;2016-04-05
15;NA;19726;37837;2016-04-05
15;NA;58223;104426;2016-04-05
17;NA;51353;385045;2016-04-09
17;NA;240186;528277;2016-04-09
17;NA;51913;301893;2016-04-09
17;NA;254864;408749;2016-04-09
17;NA;353726;595874;2016-04-09
17;NA;35142;94227;2016-04-09
17;NA;79898;23421;2016-04-09
18;NA;38873;163875;2016-04-09
18;NA;38873;89503;2016-04-09
18;NA;38873;331806;2016-04-09
18;NA;31579;784079;2016-04-09
18;NA;44491;420232;2016-04-09
18;NA;44491;125167;2016-04-09
18;NA;11732;823478;2016-04-09
18;NA;23840;25804;2016-04-09
18;NA;23840;376155;2016-04-09
18;NA;23840;256852;2016-04-09
18;NA;14914;751143;2016-04-09
20;NA;117403;473943;2016-04-03
20;NA;105612;114278;2016-04-03
20;NA;123272;17648;2016-04-03
20;NA;108888;407044;2016-04-03
20;NA;9029;272662;2016-04-03
20;NA;3633;343934;2016-04-03
20;NA;126437;318707;2016-04-03
20;NA;126437;222008;2016-04-03
22;NA;6542;1068214;2016-04-03
22;NA;6542;1056831;2016-04-03
22;NA;6542;27154;2016-04-03
22;NA;375733;310866;2016-04-03
22;NA;126498;474413;2016-04-03
22;NA;128913;673175;2016-04-03
22;NA;69210;518999;2016-04-03
22;NA;400741;118718;2016-04-03
22;NA;169562;975447;2016-04-03
22;NA;381355;876725;2016-04-03
22;NA;208971;890705;2016-04-03
24;NA;66200;13076;2016-05-10
25;NA;14895;22946;2016-05-10
28;NA;1013;610105;2016-05-08
28;NA;121104;637382;2016-05-08
28;NA;46610;57944;2016-05-08
28;NA;12787;560336;2016-05-08
28;NA;24619;458264;2016-05-08
28;NA;13061;534924;2016-05-08
28;NA;171222;167561;2016-05-08
28;NA;126308;191916;2016-05-08
28;NA;164504;758283;2016-05-08
28;NA;164504;728531;2016-05-08
28;NA;25583;706033;2016-05-08
29;NA;2042;114562;2016-04-04
29;NA;2042;212134;2016-04-04
29;NA;2042;40988;2016-04-04
32;NA;3719;410142;2016-04-08
32;NA;11338;512845;2016-04-08
32;NA;11338;435504;2016-04-08
32;NA;387;825971;2016-04-08
32;NA;35311;246549;2016-04-08
32;NA;35311;139389;2016-04-08
32;NA;35311;229388;2016-04-08
32;NA;35311;91968;2016-04-08
32;NA;79130;33930;2016-04-08
33;NA;32142;65780;2016-04-08
33;NA;63532;563443;2016-04-08
33;NA;28249;20417;2016-04-08
33;NA;35378;970150;2016-04-08
33;NA;35418;683871;2016-04-08
33;NA;5450;386521;2016-04-08
33;NA;6267;38783;2016-04-08
34;NA;75611;4251;2016-04-08
35;NA;59968;70766;2016-04-08
35;NA;84043;521854;2016-04-08
35;NA;172323;337114;2016-04-08
35;NA;172323;311805;2016-04-08
